# V1.0	10.20.2004	 User: lda	 Total number of Spots: 3072
# Created by: TIGR Spotfinder 2. 2. 3.
# TIFF files processed: CL100804#45G1_Cy3(112-10).tif; CL100804#45G1_Cy5(112-10).tif.
# 
UID	IA	IB	R	C	MR	MC	SR	SC	FlagA	FlagB	SA	SF	QCscore	QCA	QCB	BkgA	BkgB
1	64494	23233	1	1	1	1	1	1	B	B	49	1.0000	0.1556	0.1730	0.1382	20041.000000	9310.000000
2	54450	17817	1	2	1	1	1	2	B	B	48	1.0000	0.1060	0.1236	0.0883	18288.000000	8880.000000
3	263281	225597	1	3	1	1	1	3	C	C	71	1.0000	0.8431	0.8301	0.8561	34009.000000	12567.000000
4	74189	31029	1	4	1	1	1	4	C	C	57	1.0000	0.1478	0.1604	0.1351	22002.000000	10317.000000
5	90798	82328	1	5	1	1	1	5	C	C	76	1.0000	0.3291	0.3172	0.3409	32908.000000	13224.000000
6	159399	82462	1	6	1	1	1	6	C	C	68	1.0000	0.4730	0.4989	0.4471	30056.000000	11288.000000
7	65624	21905	1	7	1	1	1	7	C	C	50	1.0000	0.1586	0.1731	0.1442	19500.000000	8350.000000
8	63275	20917	1	8	1	1	1	8	B	B	47	1.0000	0.1605	0.1767	0.1443	20257.000000	7802.000000
9	123022	59021	1	9	1	1	1	9	C	C	59	1.0000	0.5246	0.5480	0.5012	25075.000000	9853.000000
10	72312	25181	1	10	1	1	1	10	C	C	58	1.0000	0.1010	0.1114	0.0906	20474.000000	9454.000000
11	139010	53601	1	11	1	1	1	11	C	C	56	1.0000	0.2989	0.3209	0.2770	21280.000000	9408.000000
12	299480	100919	1	12	1	1	1	12	C	C	57	1.0000	0.5470	0.5768	0.5171	24681.000000	9918.000000
13	551363	3220615	1	13	1	1	1	13	C	C	70	1.0000	0.9175	0.8893	0.9458	29540.000000	16660.000000
14	201775	447076	1	14	1	1	1	14	C	C	77	1.0000	0.8249	0.8100	0.8397	28644.000000	14938.000000
15	85853	45033	1	15	1	1	1	15	C	C	68	1.0000	0.1809	0.1921	0.1697	28492.000000	12512.000000
16	89327	63143	1	16	1	1	1	16	C	C	79	1.0000	0.1442	0.1461	0.1424	35471.000000	15563.000000
17	53329	13704	1	17	1	1	1	17	B	B	42	1.0000	0.1122	0.1321	0.0923	15708.000000	8274.000000
